app,score,date,thumbs_up,content
Hevy,5,2025-12-08,2,"Hevy has completely changed the way I hit the gym. It keeps detailed track of all my workouts, including sets, reps, and weight, without having to carry a pen and pad anymore. One of my favorite features is how it automatically updates when I increase weight, so my workouts stay accurate over time and I can clearly see my progress. It’s simple, clean, and helps me stay focused instead of messing around with pen and paper."
Hevy,5,2026-01-19,1,solid workout tracker. you can use an AI plug in to work out a progression routine. overall just like my old notebook and pen. except much easier to read. for just wanting to track your weights reps and volume can't beat this. I like this app so much I paid for pro Even though the free version is completely functional for all my use cases. keep up the good work!
Hevy,4,2026-01-13,0,"Update 2: What happened to being able to type in the time on timed sets? I hate the scrolling timer, it's way too slow and disturbs my workout flow. Update 1: Great tracker app! Has the most subdivision of muscle groups for tracking volume, custom bar and machine weights, body weight included, progress tracking, and great organization of routines! I also like being able to share my routines with others. Devs are responsive and fixed a UI issue in a reasonable time."
Hevy,5,2026-01-02,1,"I have been looking for an app that would track my workouts its 3asy modifiable and where I could track new challenges for myself. Since using this app I feel.excited for my new workout every week. I tend to change it up weekly which keeps me entertained and avoids a plateau and feeling like I'm repeating the same thing over and over. Highly recommend if you're are looking to track your workouts, come up with new things to do or simply keep track of your PRs."
Hevy,5,2026-02-12,1,"A great tool for the gym. Without Hevy, I was relying on memory to track numbers of sets/reps/weight, and lacking real data for improvements. This app is easy to use and highly motivating for me, being able to track new records for volume or weights. Easy to setup workouts and super simple to track progress as I go. Love it!"
Hevy,5,2025-12-18,1,"the users interface is great, has tons of exercises, and the statistics it gives at the end of each workout is both fun to see and encouraging for future workouts. My only gripe is that there are no stretches that you can add to workouts, and you get a limited number of ""create your own exercise"" so you cant just add them all in if you want to. I like how the reps and sets carry over to the next session so you can see how you performed and improve upon it. overall great app."
Hevy,5,2026-02-02,0,I love this app. The free version has plenty of options for me (just starting out) and its been so helpful with keeping me motivated. I recommend this app to everyone I know who is going to the gym. The only issue I've had is my settings not saving for my workouts. It honestly might be user error since I'm still finding my way around the app. I was able to download and use immediately with the built in workouts and that has been instrumental for me.
Hevy,5,2026-03-01,1,"I've used dozens of fitness apps over the years - and Hevy is far and away the best there is. The interface is very mobile friendly, the access to demo videos is a great feature - but my favorite is the memory that displays your last workout. I cannot imagine even one additional feature they could include to make it better."
Hevy,5,2026-01-22,0,"an amazing app for workouts. provides visual examples of the workouts for proper form, and allows for some different forms of excercise like failure sets as well as notes so I can remember alterations I did in a previous week. it also connects to my watch and keeps track of my heart rate. sharing my workout with a workout group im in also helps clarify what we are working on that day! its also very good for what is offered for free!"
Hevy,5,2026-01-25,0,"Honestly so easy to use and intuitive. I feel excited to get back into lifting as this takes a lot of the mental effort out of it lol. Love looking at the little body map to see what muscle groups I should work next for balance. I would love if you could change the sizes of the widgets, finish workouts without entering sets/reps, and if there were pelvic floor/womens health exercises added as well as niche things like foot strength, finger strength. Overall really great!"
Hevy,5,2025-12-13,0,"Solid app. Free version is good it's just 3 months of workout history vice all-time. If you decide you want to upgrade to the paid version 6 months in, all of your workout history will be there, not just the previous 3 months. Large library of exercises to pick from and even the option to create an exercise. I've used Hevy for 3 years now and won't be leaving."
Hevy,5,2026-01-23,0,"Love the Hevy app! It’s super easy to use, tracks your previous weights, and gives you those fun alert medals when you lift your heaviest or hit your longest hike which is super motivating. I also love that I can create workouts for friends and family to follow on their own. Makes training more fun, more social, and way easier to stay consistent. Highly recommend!"
Hevy,5,2025-12-10,1,"great app through and through. best for tracking progress, exercises (rep volumes etc), weights etc. it also shows / and can filter by muscle group. all exercises have a how to and shine even have a video to show. I got the lifetime subscription about 2 years ago, and it's been great since. I haven't personally experienced any bugs."
Hevy,5,2026-02-22,2,"First review I've ever written for any app. This app is incredible. Well thought out. Perfect for tracking workout progress. No annoying in-app ads for free version- (which actually makes me more inclined to consider purchasing the ""Pro"" mode to unlock full features). Glitch-free. Very user friendly. This is exactly the app I was looking for and has become an essential tool in my workout program. Zero cons to this app. Great job to the team at Hevy. Keep up the excellent work."
Hevy,5,2026-03-14,0,"Love this app for tracking my workouts. It has everything I need all in one place. Not only can I track my workouts, but I can also send them to others when planning a group workout. The sample workouts are great, as are the animated tutorials for newbies like me. I will definitely recommend this to others."
Hevy,5,2026-02-04,34,"This is the best workout app I've used, and it beats my spreadsheets. I can track my workouts well with it and it gamifies it by giving me a ""total weight lifted"" for the workout and for the workouts that week. This just makes me feel like a rockstar, and pushes me to work harder. Wrapping up an arm day that lifted 3.5 tons makes me feel like a monster. I'm currently using the free version, and that is working well for me, but will probably go to paid when my next workout program starts."
Hevy,5,2026-02-10,0,The Hevy app is nice! It is a great app for logging and tracking your workouts. I use the free version and it's good. I would like more options for bodyweight / calisthenics / resistance bands options for tracking. If you have that feeling of needing to report or log workouts to see your progress then definitely give the Hevy app a try.
Hevy,4,2026-02-11,0,"this is my go-to app for tracking all of my workouts. It keeps my rest periods consistent and I can implement progressive overload because it always shows how much I lift it the time before. for anyone. just getting started or who is currently a lifter. this is a great app to track your workouts. if only they add a circuit or tabata timer, then we'll be in business."
Hevy,4,2026-01-23,0,"Really like the app, the tracking and progression monitoring has been game changing. I have recommended it to many ppl. While the exercise library is extensive, its missing some common movements. However, you can add a customs that get added to ur personal library. the cons are minimal but mainly consist around random ui errors, like closing out an edited workout session and only getting half of the option to update or keep appears on screen or a formatting limitations when adding custom img."
Hevy,5,2026-01-29,2,"I love this app. I'm new to the gym and it's really helped me build a consistent routine & track the metrics that matter to me so I can see my progress every time, & adjust sets reps and exercises on the fly. I also value the small animations of each exercise in case I have form questions & the muscle heat map to show what I've worked in each set and over the course of the workout and week. The comparison of my total weight lifted to a heavy object like a truck or a yacht is awesome!! LOVE IT!"
Hevy,3,2026-01-22,3,"Great app for tracking your workouts, don't bother installing the companion app on your watch though because the watch version is straight trash clearly programmed by a 3 year old. Not only that, if you're trying to track your workouts using Samsung Health on your watch the Hevy app forces it to stop tracking randomly because it's (Hevy is) such a piece of junk."
Hevy,5,2026-01-01,0,"I really enjoy using this app. The only downside is that you can only create so many custom exercises for free. Since I do a lot of odd workouts that I find very effective, I chose to do the yearly bill, which actually isn't expensive. It would be better if that was included in the free plan, but otherwise, I can't complain."
Hevy,5,2026-02-10,32,"so much is offered on the free version it's unbelievable, I will willingly pay for it because they deserve it for being so generous. today I discovered an option to compare your stats to another member so you can start competing with them which seems awesome. I love the community in this app. it reminds me a bit of fitocracy (who remembers that?) This is definitely the best of all the logging apps I've downloaded. maybe in the future we can also use it to track nutrition?"
Hevy,5,2025-03-01,49,"Excellent for strength tracking, better than anything I can imagine a paid app would offer. And it even has a free, perfectly set up Android Wear app too, which makes this already convenient app even better. I'm a bit of a novice, so being able to filter and see basic form guides for exercises helps me out also, although generally you only need to use them once. None of the paid features matter to me and unfortunately it's subscription only, otherwise I'd consider paying just to say thanks!"
